category,date,developer,name,platforms,price,rate,reviews_numbers,tags
Simulation Games,"14 Apr, 2022",Oisoi,Painting VR,win,None,Mixed,56,"Immersive,Sim,Design,&,Illustration,Simulation,Sandbox,Crafting,VR,3D,Indie,First-Person,Relaxing,Realistic,Casual,Atmospheric,Singleplayer,Crowdfunded,Experience"
Simulation Games,"29 Aug, 2017",TREBUCHET,Prison Boss VR,win,None,Very Positive,324,"Simulation,Indie,VR,Crafting,Trading,Resource,Management,Funny"
Adventure Games,"23 Oct, 2024",Saber Interactive Inc.,MudRunner VR,win,"1114,20 руб.",Mixed,81,"Adventure,Simulation,Racing,Action-Adventure,Choose,Your,Own,Adventure,First-Person,Open,World,VR,Singleplayer"
Casual Games,"24 May, 2023",ForeVR Games Inc,ForeVR Bowl VR,win,None,Positive,12,"Sports,Bowling,PvP,PvE,Strategy,Arcade,Character,Customization,3D,Casual,First-Person,VR,Family,Friendly,Atmospheric,Physics,Multiplayer,Singleplayer,Immersive"
Sports Games/Assetto Corsa Official Franchise,"16 Jan, 2025",KUNOS Simulazioni,Assetto Corsa EVO,win,1999 руб.,Mostly Positive,8663,"Early,Access,Racing,Simulation,Sports,Automobile,Sim,Driving,Realistic,VR,Multiplayer,Physics,Artificial,Intelligence,PvP,First-Person,Controller,Atmospheric,Singleplayer,eSports,3D,Vision,Replay,Value,TrackIR"
Simulation Games,"15 Dec, 2023",HFM Games,FPV Kamikaze Drone,win,"704,90 руб.",Very Positive,8079,"Simulation,Action,War,Shooter,First-Person,Combat,Singleplayer,Early,Access,Massively,Multiplayer,Flight,Multiplayer,Psychological,Horror,VR,Military"
Action Games,"17 Jun, 2024",WarpFrog,Blade and Sorcery,win,None,Overwhelmingly Positive,54309,"VR,Swordplay,Moddable,Sandbox,Gore,Magic,Action,Violent,Physics,Medieval,Simulation,Fighting,First-Person,Fantasy,Singleplayer,Adventure,RPG,Indie,Early,Access,Games,Workshop"
Adventure Games,"20 Jan, 2024",Akshay GadekarNo Coding Guru,UpWorld - Multiplayer,win,None,1 user reviews,1,"Choose,Your,Own,Adventure,PvP,Adventure,Action-Adventure,3D,Third,Person,Fantasy,Thriller,Emotional,Casual,Action,Simulation,Strategy,Indie,Co-op,Multiplayer,Online,Co-Op,Singleplayer,Parkour,Psychological,Horror"
Action Games,"19 Sep, 2018",Fun Games For Free,Sniper 3D Assassin: Free to Play,"win,mac",None,Mixed,1664,"Free,to,Play,Action,FPS,Sniper,Simulation,Multiplayer,Strategy,Singleplayer,Violent,Casual,Adventure,Indie,RPG,Shooter,Controller"
Free To Play Games,"21 Apr, 2025",UDIT ZATAKIA,World's Toughest Quiz (Free to play),win,None,2 user reviews,2,"Trivia,Free,to,Play,Difficult,Fast-Paced,Point,&,Click,Time,Attack,Minigames,Mouse,only,Linear,Abstract,Minimalist,Colorful,Clicker,Education,Strategy,Family,Friendly,Casual,Indie,2D,Singleplayer"
Free to Play/Downloadable Content,"24 Sep, 2014",Valve,Free to Play Soundtrack,"win,mac",None,Very Positive,123,"Free,to,Play,Soundtrack,Music"
Free To Play Games,"4 Mar, 2016",Fervent,CUPID - A free to play Visual Novel,"win,mac",None,Very Positive,1299,"Free,to,Play,Sexual,Content,Visual,Novel,Nudity,Mature,Indie,Female,Protagonist,Anime,Romance,Horror,Simulation,Singleplayer,Dark,Psychological,Horror,Story,Rich,RPG,Choices,Matter,Otome,Multiple,Endings,Mystery"
Action Games/Blue Sunset Games Franchise,"9 Jan, 2020",Blue Sunset Games,Go All Out: Free To Play,win,None,Mostly Positive,42,"Free,to,Play,Action,3D,Fighter,Casual,Fighting,Indie,Arcade,Multiplayer,3D,Colorful,Fast-Paced,4,Player,Local,Singleplayer,Competitive,Spectacle,fighter,Fantasy,Battle,Royale,Character,Action,Game,2D,Fighter,Beat,'em,up"
,"19 Mar, 2014",Valve,Free to Play,"win,mac,linux",None,Overwhelmingly Positive,11033,"Free,to,Play,Documentary,eSports,Action,RTS,Emotional,Epic,Beautiful,Feature,Film,Drama,2D,Action,RPG,Faith,Mature"
Action Games,"19 Dec, 2013",SidekickCavetap,Romans from Mars (Free-to-Play),win,None,Positive,26,"Action,Free,to,Play"
Design & Illustration/Station Architect/Downloadable Content,"12 Sep, 2017",Wyvern Industries,Station Generator - Early Access Builds,win,None,3 user reviews,3,"Design,&,Illustration,Utilities"
RPG Games/Killer Gin/Downloadable Content,"19 Jan, 2020",The Killer Gin,Killer Gin Early Access DLC,"win,mac,linux",None,,,"RPG,Indie,Singleplayer,JRPG,Kickstarter"
Casual Games/MechaLeague/Downloadable Content,"9 Jan, 2024",Mechabit,MechaLeague - Early Access Supporter,win,None,,,"Action,Casual,Sports,VR,Racing,eSports,Aliens,Archery,Cats,Comedy,Dog,Dragons,Family,Friendly,Fantasy,Futuristic,Mechs,Parkour,Robots,Skateboarding,Skating"
Action Games,"23 Dec, 2023",MythicPenguin,Visit From Above-Early Access,win,None,1 user reviews,1,"Action,Arcade,RTS,3D,First-Person,Realistic,1980s,Aliens,Alternate,History,America,Atmospheric,Demons,Horror,Post-apocalyptic,Psychological,Horror,Retro,Sci-fi,Supernatural,Survival,Survival,Horror"
Free To Play Games,"14 Jun, 2018",KOG Co. Ltd.,Elsword Free-to-Play,win,None,Mostly Positive,1018,"Free,to,Play,MMORPG,Anime,Hack,and,Slash,Action,RPG,Side,Scroller,Action,Massively,Multiplayer,Cute,Adventure,RPG,Fantasy,PvP,Character,Customization,PvE,2.5D,Fighting,Multiplayer,Co-op,Dungeon,Crawler"
category,date,developer,name,platforms,price,rate,reviews_numbers,tags
Action Games,"30 Jun, 2024","NEXON Games Co., Ltd.",The First Descendant,win,Free To Play,Mixed,102529,"Free,to,Play,Sexual,Content,Looter,Shooter,Multiplayer,Third-Person,Shooter,RPG,Online,Co-Op,Action,Shooter,Third,Person,Action,RPG,Singleplayer,Character,Customization,Adventure,Co-op,Sci-fi,PvE,Combat,Story,Rich,Violent"
Utilities,"13 Jun, 2018",UNAmedia,Sim Racing Telemetry,"win,mac",Free To Play,Mostly Positive,124,"Racing,Simulation,Utilities,Early,Access,Automobile,Sim"
Simulation Games,"17 Dec, 2021",P3 Games,Motor Town: Behind The Wheel,win,710 руб.,Very Positive,5421,"Early,Access,Driving,Open,World,Transportation,Automobile,Sim,Simulation,Relaxing,Realistic,Economy,Immersive,Sim,Exploration,Multiplayer,Racing,Management,Atmospheric,Time,Attack,Controller,3D,Singleplayer,Casual"
Simulation Games/eCho Software Franchise,"10 Nov, 2024",eCho Software,Simulation,"win,mac,linux",165 руб.,Positive,10,"Simulation,Time,Management,Interactive,Fiction,Sci-fi,Dystopian,Utilities,Point,&,Click,2D,Top-Down,Nonlinear,Indie,Pixel,Graphics,1980s,Farming,Sim,Singleplayer,RTS,Automation"
Indie Games,"25 Sep, 2019",Genesz,The Long Drive,win,590 руб.,Very Positive,41675,"Multiplayer,Driving,Open,World,Survival,Automobile,Sim,Exploration,Post-apocalyptic,Adventure,First-Person,Racing,Simulation,Shooter,Singleplayer,Horror,Sexual,Content,Early,Access,Casual,Realistic,Indie,Psychological,Horror"
Casual Games,"6 Aug, 2024",MorningHeart,CasualMuyu,win,42 руб.,,,"Casual,Simulation,Life,Sim,Rhythm,Idler,Clicker,3D,Cartoony,Hand-drawn,First-Person,Indie,Atmospheric,Nature,Singleplayer"
Simulation Games/PlayWay S.A. Franchise,"11 Aug, 2021",Red Dot Games,Car Mechanic Simulator 2021,win,Car Mechanic Simulator 2021 Demo,Overwhelmingly Positive,27935,"Simulation,Automobile,Sim,Sandbox,Realistic,Moddable,Driving,Racing,3D,Singleplayer,Education,First-Person,Immersive,Sim,Puzzle,Open,World,Atmospheric,Adventure,Minigames,VR,Indie,Strategy"
Utilities,"9 Nov, 2016",Leppsoft,Soundpad,win,Soundpad Demo,Overwhelmingly Positive,79851,"Utilities,Audio,Production,Music,Software,NSFW,Mature,Cold,War,Psychological,Singleplayer,Dating,Sim"
Sports Games,"13 Mar, 2017",SAT-BOX,VR SUPER SPORTS,win,289 руб.,Mixed,112,"Sports,Action,Indie,Casual,VR,Boxing,Archery,Simulation,Basketball,Racing,Bowling"
Strategy Games/Demo,"8 Dec, 2024",Ibrahim Özhan,Dicey Chess Singleplayer Demo,win,None,,,"Chess,Turn-Based,Tactics,Strategy,PvP,Board,Game,Tabletop,Turn-Based,Strategy,2D,Top-Down,Funny,Casual,Minimalist,Indie,Pixel,Graphics,Family,Friendly,Retro,Multiplayer,Singleplayer"
Sports Games,"29 Jan, 2021",Unfinished Pixel,Super Sports Blast,win,465 руб.,Positive,47,"Sports,Casual,Arcade,Football,(Soccer),Tennis,Local,Multiplayer,Family,Friendly,Local,Co-Op,Cartoony,Colorful,Indie,Co-op,3D,Singleplayer"
Indie Games,"16 Aug, 2021",NikiGames,Casual Golf,win,42 руб.,4 user reviews,4,"Casual,Golf,6DOF,Choices,Matter,Minimalist,3D,Indie,Singleplayer"
Simulation Games/EA Sports Franchise,"28 Sep, 2023",EA CanadaEA Romania,EA SPORTS FC™ 24,win,None,Mixed,92391,"Football,(Soccer),Sports,Controller,Multiplayer,PvP,eSports,Competitive,PvE,Local,Multiplayer,3D,Simulation,Online,Co-Op,Singleplayer,Realistic,Local,Co-Op,Co-op,Family,Friendly,Action,First-Person,Early,Access"
Sports Games/Agger Interactive Franchise,"3 Feb, 2021",Lotte|EoD,Worldwide Sports Fishing,"win,mac",385 руб.,Positive,43,"Indie,Action,Simulation,Sports,Adventure,Casual,Relaxing,FPS,First-Person,Fishing,Replay,Value,Family,Friendly,Multiplayer,Atmospheric,Realistic,Open,World,Survival"
Adventure Games,"19 Jun, 2024",Anegar Games,Chained Together,win,200 руб.,Very Positive,44715,"Co-op,Adventure,Casual,Platformer,Puzzle,Platformer,Simulation,Action-Adventure,3D,Platformer,Third,Person,Exploration,Funny,Online,Co-Op,Multiplayer,Mystery,Post-apocalyptic,Emotional,Physics,Surreal,Controller,Choices,Matter"
RPG Games,"17 Aug, 2017",Bernhard Potuzak,Indeep | The casual dungeon crawler,win,Free To Play,Mixed,28,"Indie,RPG,Fantasy,Dungeon,Crawler"
Simulation Games/Cities: Skylines - Official Franchise,"10 Mar, 2015",Colossal Order Ltd.,Cities: Skylines,"win,mac,linux",1599 руб.,Very Positive,205606,"City,Builder,Simulation,Building,Management,Strategy,Sandbox,Singleplayer,Moddable,Economy,Resource,Management,Mod,Realistic,Replay,Value,Casual,Modern,Real-Time,with,Pause,Family,Friendly,Great,Soundtrack,Funny,Action"
Action Games,"12 Jan, 2023",youdoyou.motto,Our Casual Battlefield,win,165 руб.,,,"Action,Physics,3D,Fighter,Comedy,Minigames,Score,Attack,PvE,3D,Online,Co-Op,PvP,Multiplayer,Arcade,3D,Platformer,Superhero,Zombies,Martial,Arts,Funny,Combat,Party,Game,Singleplayer"
Casual Games,"25 Aug, 2023",HapGames,Xonix Casual Edition,win,280 руб.,Mostly Positive,14,"1990's,Remake,1980s,Retro,Arcade,Casual,Puzzle,Board,Game,Tabletop,3D,Platformer,Nonlinear,Puzzle,Platformer,Top-Down,Colorful,Abstract,Atmospheric,Minimalist,Psychedelic,3D,Indie"
Action Games,"16 Sep, 2024",Bolt Blaster Games,The Spell Brigade,"win,linux",385 руб.,Very Positive,6349,"Action,Roguelike,Online,Co-Op,Bullet,Hell,Roguelite,Co-op,Action,Magic,Roguelike,3D,Top-Down,Shooter,Multiplayer,Dark,Fantasy,Arcade,Casual,Top-Down,Score,Attack,Controller,Colorful,Early,Access,Procedural,Generation"
Sports Games,Coming soon,Revulo Games,Casual Sport Series: Badminton,win,None,,,"Sports,Arcade,4,Player,Local,3D,Tennis,Casual,Cartoony,Colorful,Stylized,Third,Person,Controller,Tutorial,Multiplayer,Singleplayer"
Indie Games/YAW Studios Franchise,"16 Oct, 2019",YAW Studios,War Solution - Casual Math Game,win,50 руб.,Positive,35,"Education,Casual,Logic,Tower,Defense,Family,Friendly,Cartoony,War,Medieval,Cute,2D,PvP,2.5D,Relaxing,Colorful,Puzzle,Cartoon,Singleplayer,Indie,Replay,Value,Minigames"
Early Access Games,"2 Oct, 2024",Curve Animation,Liar's Bar,win,280 руб.,Very Positive,41551,"Multiplayer,Casual,PvP,Co-op,Online,Co-Op,Gambling,Indie,FPS,Funny,3D,First-Person,Dark,Tabletop,Puzzle,Horror,Board,Game,Strategy,Gore,VR,Early,Access"
Action Games,"29 Sep, 2017",Studio MDHR Entertainment Inc.,Cuphead,"win,mac",419 руб.,Overwhelmingly Positive,163761,"Difficult,Cartoon,Co-op,Platformer,Great,Soundtrack,Local,Co-Op,2D,Multiplayer,Hand-drawn,Indie,Retro,Cartoony,Bullet,Hell,Action,Shoot,'Em,Up,Singleplayer,Side,Scroller,Colorful,Funny,Souls-like"
Indie Games,"29 Nov, 2006",Facepunch Studios,Garry's Mod,"win,mac,linux",750 руб.,Overwhelmingly Positive,993594,"Sandbox,Moddable,Multiplayer,Physics,Building,Casual,Funny,First-Person,Singleplayer,FPS,Simulation,Comedy,Online,Co-Op,Shooter,Co-op,Action,Indie,PvP,Realistic,Exploration"
Free To Play Games,"21 Nov, 2024",iDreamSky,Strinova,win,Free To Play,Mostly Positive,24941,"Free,to,Play,Anime,Third-Person,Shooter,Hero,Shooter,FPS,Multiplayer,Shooter,PvP,Action,Third,Person,eSports,Real,Time,Tactics,Online,Co-Op,Team-Based,Co-op,3D,Female,Protagonist,2D,MOBA,Casual"
Sports Games,To be announced,MADE BY TITANS,Squishy Sports,win,None,,,"2D,Sports,Physics,Party,Game,Party,Family,Friendly,Local,Multiplayer,4,Player,Local,Multiplayer,PvP,Competitive,Arcade,Cartoon,Cute,Stylized,Colorful,Basketball,Football,(Soccer),Indie,Team-Based"
Sports Games,"1 Jun, 2016",Cherry Pop GamesPerilous Orbit,Sports Bar VR,win,419 руб.,Very Positive,787,"VR,Snooker,Sports,Simulation,Casual,Pool,Indie,Local,Multiplayer,Strategy,Physics,Multiplayer,Addictive"
Sports Games,To be announced,DX Gameworks LLCGixer Entertainment,Toy Sports,win,None,,,"Casual,Sports,Family,Friendly,Score,Attack,Multiplayer,Cute,Physics,Colorful,Basketball,Funny,Football,(Soccer),Bowling,Cartoony,eSports,Golf,Controller,Racing,PvP,3D,Collectathon"
Indie Games/Playstack Franchise,"20 Feb, 2024",LocalThunk,Balatro,"win,mac",610 руб.,Overwhelmingly Positive,118189,"Card,Game,Roguelike,Deckbuilder,Roguelike,Deckbuilding,Singleplayer,Strategy,Pixel,Graphics,Replay,Value,Roguelite,Turn-Based,Card,Battler,Casual,Choices,Matter,Difficult,2D,Turn-Based,Strategy,Relaxing,Indie,Arcade,Procedural,Generation"
Indie Games,"7 Feb, 2024",BLOK Games,Mini Sports,"win,mac,linux",Free,Mixed,19,"Indie,Casual,Sports,PvP,Multiplayer,2D,Party,Real,Time,Tactics,Turn-Based,Tactics,Racing,Pool,Archery,Mini,Golf,Competitive,Relaxing,Tactical,Cartoony,Colorful,Free,to,Play"
Indie Games,"21 Feb, 2018",Dribble Games,Slime Sports,"win,mac",Free,Mostly Positive,13,"Casual,Sports,Action,Indie,Free,to,Play"
Simulation Games,"10 Nov, 2021",FishSoft LLC,Russian Fishing 4,win,Free To Play,Mixed,72338,"Fishing,Multiplayer,Free,to,Play,Simulation,Nature,Realistic,Relaxing,First-Person,Crafting,Immersive,Sim,Sports,Atmospheric,Singleplayer,Open,World,Survival,Massively,Multiplayer,Casual,Adventure,RPG,Family,Friendly"
Racing Games/EA Sports Franchise,"2 Nov, 2023",Codemasters,EA SPORTS™ WRC,win,None,Mixed,8953,"Racing,Simulation,Automobile,Sim,Sports,Offroad,Multiplayer,PvP,Singleplayer,VR,Early,Access,Driving,Realistic"
Sports Games,"20 Aug, 2021",Team Fractal Alligator,Wrestledunk Sports,"win,mac,linux",Wrestledunk Sports Demo,Positive,19,"Sports,Indie,Action,Multiplayer,PvP,Local,Co-Op,Online,Co-Op,Local,Multiplayer,4,Player,Local,Family,Friendly,Co-op"
Sports Games,"29 Sep, 2021",KONAMI,eFootball™,win,Free To Play,Mixed,90870,"Football,(Soccer),Free,to,Play,Controller,Multiplayer,Sports,eSports,Simulation,Local,Multiplayer,PvP,Co-op,Singleplayer,Online,Co-Op,Local,Co-Op,Realistic,Comedy,Memes,Violent,Anime,LGBTQ+,Funny"
Sports Games/EA Sports Franchise,"26 Sep, 2024",EA CanadaEA Romania,EA SPORTS FC™ 25,win,None,Mixed,62797,"Sports,Simulation,Football,(Soccer),Controller,Multiplayer,eSports,Competitive,Local,Co-Op,Family,Friendly,Local,Multiplayer,Singleplayer,Online,Co-Op,PvP,Modern,Realistic,Co-op,Soundtrack,Split,Screen,Free,to,Play,LGBTQ+"
Sports Games/Dear Villagers Franchise,"27 Mar, 2025",Goat Gamez,Sports: Renovations,win,1210 руб.,Mixed,35,"Simulation,Sports,Relaxing,Casual,Realistic,First-Person,Singleplayer,Immersive,Sim,Family,Friendly,Building,Wholesome,Story,Rich,3D,Atmospheric,Crafting,Narration,Walking,Simulator,Indie,Base,Building,Economy"
Massively Multiplayer Games/ECHS BACHS Franchise,"7 Feb, 2023",Archor Wright,Multiplayer Werewolves,win,42 руб.,Positive,23,"Action,Massively,Multiplayer,MOBA,Third-Person,Shooter,3D,Dark,Fantasy,PvP,Co-op,Multiplayer,Online,Co-Op"
Indie Games,"26 Feb, 2016",ConcernedApe,Stardew Valley,"win,mac,linux",299 руб.,Overwhelmingly Positive,749545,"Farming,Sim,Pixel,Graphics,Multiplayer,Life,Sim,RPG,Relaxing,Agriculture,Simulation,Crafting,Sandbox,Indie,Building,Casual,Singleplayer,Open,World,2D,Cute,Dating,Sim,Great,Soundtrack,Fishing"
Sports Games,To be announced,Broxcorp,Sports Sports,"win,linux",None,,,"Sports,Arcade,Pixel,Graphics,Character,Customization,Multiplayer,2.5D,2D,Local,Co-Op,Old,School,Retro,4,Player,Local,Local,Multiplayer,Singleplayer,Colorful,Cute,Casual,PvP,Co-op,Indie"
Indie Games,"18 Sep, 2020",Kinetic Games,Phasmophobia,win,710 руб.,Overwhelmingly Positive,623542,"Horror,Online,Co-Op,Multiplayer,Psychological,Horror,Co-op,VR,Supernatural,First-Person,Investigation,Dark,Demons,Detective,Mystery,Thriller,3D,Early,Access,Indie,Action,Tactical,Singleplayer"
Action Games/Coffee Stain Franchise,"2 Feb, 2021",Iron Gate AB,Valheim,"win,mac,linux",435 руб.,Very Positive,422997,"Open,World,Survival,Craft,Survival,Online,Co-Op,Open,World,Multiplayer,Building,Crafting,Base,Building,Exploration,Co-op,Adventure,Difficult,Mythology,Sandbox,Third,Person,PvE,Singleplayer,Action,Early,Access,Indie"
Strategy Games,"11 Jun, 2021",Barbedwire StudiosDigitalmindsoft,Call to Arms - Gates of Hell: Ostfront,win,1425 руб.,Very Positive,22049,"World,War,II,Historical,Real,Time,Tactics,Strategy,Third,Person,RTS,War,Singleplayer,Moddable,Inventory,Management,Realistic,PvE,Multiplayer,Top-Down,Shooter,Military,PvP,Online,Co-Op,Level,Editor,Shooter,Replay,Value"
Indie Games,"18 Nov, 2023",Archor Wright,MULTIPLAYER CAVEMEN,win,42 руб.,Mostly Positive,114,"RPG,Action-Adventure,Exploration,3D,Dinosaurs,PvP,Co-op,Online,Co-Op,Multiplayer,Indie,Singleplayer,Survival"
Action Games/ECHS BACHS Franchise,"14 Feb, 2023",Archor Wright,Multiplayer Cowboys,win,42 руб.,Very Positive,52,"Action,Action-Adventure,Looter,Shooter,3D,Western,Conversation,Co-op,Multiplayer,Online,Co-Op,Singleplayer"
Simulation Games,"29 May, 2015",BeamNG,BeamNG.drive,win,880 руб.,Overwhelmingly Positive,292889,"Simulation,Driving,Physics,Destruction,Realistic,Automobile,Sim,Sandbox,Open,World,Racing,Moddable,Multiplayer,Singleplayer,Early,Access,First-Person,Third,Person,Funny,Exploration,Adventure,Action,Flight"
Adventure Games/Axolot Games Franchise,"20 Jun, 2022",Redbeet Interactive,Raft,win,419 руб.,Very Positive,293467,"Survival,Multiplayer,Open,World,Survival,Craft,Co-op,Crafting,Open,World,Building,Base,Building,Online,Co-Op,Adventure,Sandbox,First-Person,Singleplayer,Underwater,Simulation,Early,Access,Action,Indie,Strategy,Massively,Multiplayer"
Simulation Games,"14 Aug, 2020",Wube Software LTD.,Factorio,"win,mac,linux",Factorio Demo,Overwhelmingly Positive,170074,"Automation,Base,Building,Resource,Management,Sandbox,Crafting,Strategy,Multiplayer,Survival,Management,Open,World,Building,Co-op,2D,Moddable,Singleplayer,Trains,Simulation,Pixel,Graphics,City,Builder,Indie"
Simulation Games,"12 Nov, 2024",Giants Software,Farming Simulator 25,"win,mac",2427 руб.,Very Positive,20734,"Simulation,Farming,Sim,Realistic,3D,Immersive,Sim,First-Person,Time,Management,Economy,Multiplayer,Third,Person,Building,Management,Atmospheric,Nature,Relaxing,Online,Co-Op,Farming,Physics,Singleplayer,Moddable"
Action Games,"22 Feb, 2024",Endnight Games Ltd,Sons Of The Forest,win,1100 руб.,Very Positive,223313,"Survival,Open,World,Multiplayer,Co-op,Survival,Horror,Base,Building,Horror,Crafting,First-Person,Building,Exploration,Adventure,Singleplayer,Atmospheric,Sandbox,Action-Adventure,Action,Simulation,Immersive,Sim,Early,Access"
Sports Games,"5 Mar, 2019",Reload Labs,Aussie Sports VR 2016,win,None,Positive,12,"Sports,VR"
Sports Games,"31 Aug, 2018",Paul Bird,Wild Animal Sports Day,"win,mac",200 руб.,Very Positive,246,"Cold,War,Sports,Action,Simulation,Indie,Gore,Casual,Anime,Illuminati,Memes,Cult,Classic,Hentai,Great,Soundtrack,Atmospheric,Story,Rich,Violent,Mature,Female,Protagonist,Survival,Horror,FPS"
Indie Games/Coconut Island Games Franchise,"16 Oct, 2018",90Games,eSports Legend,win,132 руб.,Mixed,1022,"Simulation,Indie,Strategy,Casual,eSports,Management,Sports,Roguelite"
Casual Games,"28 Sep, 2017",Crenetic GmbH Studios,Hippo Sports,win,259 руб.,4 user reviews,4,"Casual,Sports"
Action Games,"19 Jun, 2025",Sloclap,REMATCH,win,1399 руб.,,,"Sports,Football,(Soccer),PvP,eSports,Multiplayer,Simulation,Arcade,Online,Co-Op,Third-Person,Shooter,Immersive,Team-Based,Action,RTS,Real,Time,Tactics,Character,Customization,Third,Person,3D,Colorful,Stylized,Action,Futuristic"
Sports Games,Coming soon,Supereo,Cat Sports Online,"win,mac",None,,,"Sports,Casual,Simulation,Tennis,PvP,Cats,Multiplayer,Golf,Character,Customization,Arcade,Fishing,Boxing,Bowling,Singleplayer,Memes,Artificial,Intelligence,Hand-drawn,eSports,Skiing,Football,(Soccer)"
Indie Games/Z-Software GmbH Franchise,"31 Jul, 2019",Z-Software,Pilot Sports,win,635 руб.,2 user reviews,2,"Casual,Racing,Sports,Indie,Family,Friendly,4,Player,Local,Flight,Local,Multiplayer,Colorful,Split,Screen,Relaxing,Funny,Competitive,Controller,Simulation,Retro,Action,Memes,Arcade,Singleplayer"
Free To Play Games,To be announced,Dream Sports Platform,Dream Sports Platform,win,None,,,"Adventure,Action-Adventure,eSports,Party-Based,RPG,Walking,Simulator,3D,Cinematic,Sports,Realistic,Third,Person,Football,(Soccer),Character,Customization,Open,World,PvE,Quick-Time,Events,Score,Attack,Co-op,Multiplayer,Online,Co-Op,Singleplayer"
Action Games/Bandai Namco Entertainment Franchise,"1 Jun, 2017",BANDAI NAMCO Studios Inc.,TEKKEN 7,win,3699 руб.,Very Positive,65652,"Fighting,Action,Multiplayer,Competitive,Arcade,Local,Multiplayer,Controller,3D,Fighter,Great,Soundtrack,Singleplayer,eSports,Character,Customization,Sports,Difficult,Anime,Beat,'em,up,Story,Rich,Third,Person,2D,Fighter,Atmospheric"
Sports Games,"31 Jul, 2024",Cherry Pick Games,Sports Hero,win,165 руб.,1 user reviews,1,"Sports,Action,Arcade,Pixel,Graphics,Simulation,Local,Co-Op,Difficult,2D,Local,Multiplayer,Indie,Casual,Competitive,PvE,Singleplayer,Retro,Character,Customization,Family,Friendly,PvP"
Sports Games,2026,LightLight Games,Wildlife Sports : Untamed,win,None,,,"Sports,Casual,4,Player,Local,Arcade,Funny,Party,Side,Scroller,2D,Cartoony,Colorful,Cute,Basketball,Family,Friendly,Football,(Soccer),Team-Based,Local,Co-Op,Local,Multiplayer,Singleplayer,Multiplayer,Short"
Sports Games/EA Sports Franchise,"6 Apr, 2023",Electronic Arts - Tiburon,EA SPORTS™ PGA TOUR™,win,None,Mixed,1708,"Sports,RPG,Co-op,Local,Co-Op,Golf,Local,Multiplayer,Multiplayer,Online,Co-Op"
Sports Games,"7 Apr, 2023",Appnori Inc.,All-In-One Sports VR,win,435 руб.,Very Positive,667,"VR,Simulation,Sports,Baseball,Basketball,Bowling,Casual,Boxing,Archery,Tennis,Pool,Golf,Arcade,eSports,Physics,6DOF,Realistic,Singleplayer,Multiplayer,Action"
Racing Games,"12 Jan, 2015",iRacing.com Motorsport SimulationsiRacing,iRacing,win,None,Very Positive,3381,"Racing,Automobile,Sim,Simulation,VR,Sports,Driving,Multiplayer,Massively,Multiplayer,Realistic,Singleplayer,Controller,eSports,First-Person,Action"
Sports Games,To be announced,defStudios,eSports Manager,win,None,,,"eSports,Management,Resource,Management,Simulation,Strategy,Sports,Tactical,Turn-Based,Tactics,Turn-Based,Strategy,Moddable,Singleplayer,Indie,Sandbox,Early,Access,Top-Down,2D,Text-Based,Action"
Sports Games,"7 Nov, 2016",Babeltime,RoboSports VR,win,Free To Play,Mixed,23,"Early,Access,Sports,VR"
Action Games,"30 Jan, 2021",Enaayah Software Development and Services Private Limited,Casual Commando,"win,mac,linux",22 руб.,2 user reviews,2,"Action,Adventure,RPG,Simulation,Strategy,Action-Adventure,Battle,Royale,God,Game,Visual,Novel,Shoot,'Em,Up,Survival,Horror,Wargame,3D,Colorful,Cute,Isometric,Pixel,Graphics,Survival,War,Warhammer,40K"
Indie Games,"16 Aug, 2017",Fedora Collective,Great eSports Manager,"win,mac,linux",249 руб.,Very Positive,91,"Casual,Simulation,Strategy,Indie,RPG,Sports,Management,Memes,Pixel,Graphics"
Sports Games,"19 Aug, 2017",Happy Bat,VR Table Sports,win,195 руб.,Mostly Positive,10,"Simulation,Indie,Casual,Sports,VR,Multiplayer,Football,(Soccer)"
Action Games,"19 Jul, 2018",Luckshot Games,Sausage Sports Club,"win,mac",349 руб.,Mostly Positive,20,"Action,Indie,Adventure,Casual,4,Player,Local,Local,Multiplayer,Physics,Local,Co-Op,Funny,Sports,Cute,Controller,Singleplayer,Third,Person,Comedy,Great,Soundtrack,Short,Platformer,Co-op,Family,Friendly"
Free To Play Games,"23 Sep, 2017",Fair Games,Casual Spider Solitaire,win,Free To Play,Mixed,47,"Solitaire,Card,Game,Relaxing,Family,Friendly,Indie,Puzzle,Top-Down,Casual,Singleplayer,2D,Free,to,Play"
Game Development,"15 Jun, 2022",Daniel Brendel,Casual Game Engine,win,Free,Mixed,12,"Game,Development,Programming,2D,2D,Fighter,Top-Down,Shooter,Top-Down,Sandbox,Arena,Shooter,Shoot,'Em,Up,Pixel,Graphics,1990's,Old,School,Education,Retro,Science,Combat,Vehicular,Combat,Hack,and,Slash,Action,Free,to,Play"
Indie Games,"25 May, 2022",Daniel Brendel,Casual Pixel Warrior,win,Free,Mostly Positive,13,"Action,Top-Down,Shooter,Casual,Top-Down,Twin,Stick,Shooter,Shooter,Pixel,Graphics,Retro,2D,Fighter,Shoot,'Em,Up,1990's,Aliens,Destruction,Futuristic,Military,Old,School,Robots,Sci-fi,Survival,Tactical"
