category,date,developer,name,platforms,price,rate,reviews_numbers,tags
Racing Games,"27 Feb, 2020",Mystik'art,Racing Glider,win,"25,49zł",Mixed,30,"Racing,Indie,Sports,Casual,Physics,Early,Access"
Strategy Games,"23 May, 2023",Wizards of the Coast LLC,Magic: The Gathering Arena,win,Free To Play,Mixed,18461,"Strategy,Card,Game,Trading,Card,Game,Free,to,Play,Deckbuilding,PvP,Multiplayer,Turn-Based,Strategy,eSports,Fantasy,Magic,Tactical,Gambling"
Simulation Games/PlayWay S.A. Franchise/SimRail - The Railway Simulator/Downloadable Content,"30 Apr, 2025",SimRail S.A.,SimRail - The Railway Simulator: Łódź - Warsaw,win,"53,99zł",Very Positive,68,"Simulation,Trains,Multiplayer,Transportation,Driving,Realistic,Singleplayer,Massively,Multiplayer,Physics,Online,Co-Op,Automobile,Sim,Immersive,Sim,Open,World,Family,Friendly,3D,Exploration,Experience,First-Person,Life,Sim,Word,Game"
Action Games,"25 Oct, 2022",TaleWorlds Entertainment,Mount & Blade II: Bannerlord,win,"229,99zł",Very Positive,204185,"Medieval,Strategy,Open,World,RPG,War,Sandbox,Multiplayer,Singleplayer,Action,Character,Customization,Simulation,Moddable,Adventure,Horses,Realistic,Third,Person,Historical,First-Person,Great,Soundtrack,Early,Access"
Strategy Games/Bloons® Franchise,"17 Dec, 2018",Ninja Kiwi,Bloons TD 6,"win,mac","50,99zł",Overwhelmingly Positive,311224,"Tower,Defense,Strategy,Multiplayer,Singleplayer,Online,Co-Op,Co-op,Family,Friendly,Casual,3D,Cartoony,Sandbox,2D,Great,Soundtrack,Difficult,Touch-Friendly,Funny,Cute,Addictive,Survival,Action"
Casual Games,"28 Sep, 2017",Crenetic GmbH Studios,Hippo Sports,win,"35,99zł",4 user reviews,4,"Casual,Sports"
RPG Games,"17 Aug, 2017",Bernhard Potuzak,Indeep | The casual dungeon crawler,win,Free To Play,Mixed,28,"Indie,RPG,Fantasy,Dungeon,Crawler"
Indie Games,"29 Nov, 2006",Facepunch Studios,Garry's Mod,"win,mac,linux","35,99zł",Overwhelmingly Positive,993594,"Sandbox,Moddable,Multiplayer,Physics,Building,Casual,Funny,First-Person,Singleplayer,FPS,Simulation,Comedy,Online,Co-Op,Shooter,Co-op,Action,Indie,PvP,Realistic,Exploration"
Indie Games/YAW Studios Franchise,"16 Oct, 2019",YAW Studios,War Solution - Casual Math Game,win,"5,39zł",Positive,35,"Education,Casual,Logic,Tower,Defense,Family,Friendly,Cartoony,War,Medieval,Cute,2D,PvP,2.5D,Relaxing,Colorful,Puzzle,Cartoon,Singleplayer,Indie,Replay,Value,Minigames"
Casual Games,"25 Aug, 2023",HapGames,Xonix Casual Edition,win,"31,99zł",Mostly Positive,14,"1990's,Remake,1980s,Retro,Arcade,Casual,Puzzle,Board,Game,Tabletop,3D,Platformer,Nonlinear,Puzzle,Platformer,Top-Down,Colorful,Abstract,Atmospheric,Minimalist,Psychedelic,3D,Indie"
Simulation Games/Cities: Skylines - Official Franchise,"24 Oct, 2023",Colossal Order Ltd.,Cities: Skylines II,win,"231,99zł",Mixed,50405,"City,Builder,Simulation,Building,Sandbox,Singleplayer,Management,Economy,Strategy,Realistic,Moddable,Relaxing,Resource,Management,Transportation,Casual,Atmospheric,Multiplayer,Early,Access,Open,World,Great,Soundtrack,Mod"
Racing Games/Conglomerate 5 Franchise,"2 Aug, 2017",Tero Lunkka,Nash Racing,win,"17,99zł",Mixed,97,"Racing,Indie"
Sports Games,Coming soon,Revulo Games,Casual Sport Series: Badminton,win,None,,,"Sports,Arcade,4,Player,Local,3D,Tennis,Casual,Cartoony,Colorful,Stylized,Third,Person,Controller,Tutorial,Multiplayer,Singleplayer"
Action Games,"12 Jan, 2023",youdoyou.motto,Our Casual Battlefield,win,"17,99zł",,,"Action,Physics,3D,Fighter,Comedy,Minigames,Score,Attack,PvE,3D,Online,Co-Op,PvP,Multiplayer,Arcade,3D,Platformer,Superhero,Zombies,Martial,Arts,Funny,Combat,Party,Game,Singleplayer"
Indie Games/Playstack Franchise,"20 Feb, 2024",LocalThunk,Balatro,"win,mac","64,99zł",Overwhelmingly Positive,118189,"Card,Game,Roguelike,Deckbuilder,Roguelike,Deckbuilding,Singleplayer,Strategy,Pixel,Graphics,Replay,Value,Roguelite,Turn-Based,Card,Battler,Casual,Choices,Matter,Difficult,2D,Turn-Based,Strategy,Relaxing,Indie,Arcade,Procedural,Generation"
Racing Games/Need for Speed Franchise,"1 Dec, 2022",Criterion Games,Need for Speed™ Unbound,win,"709,80zł",Mixed,39183,"Racing,Multiplayer,Open,World,Action,Driving,Singleplayer,Character,Customization,Combat,Racing,Controller,Arcade,Online,Co-Op,Casual,Simulation,Sports,Atmospheric,Adventure,Anime,Music,Immersive,Split,Screen"
Indie Games,"16 Aug, 2021",NikiGames,Casual Golf,win,"4,49zł",4 user reviews,4,"Casual,Golf,6DOF,Choices,Matter,Minimalist,3D,Indie,Singleplayer"
Casual Games,"6 Aug, 2024",MorningHeart,CasualMuyu,win,"4,49zł",,,"Casual,Simulation,Life,Sim,Rhythm,Idler,Clicker,3D,Cartoony,Hand-drawn,First-Person,Indie,Atmospheric,Nature,Singleplayer"
Sports Games,"31 Jul, 2024",Cherry Pick Games,Sports Hero,win,"17,99zł",1 user reviews,1,"Sports,Action,Arcade,Pixel,Graphics,Simulation,Local,Co-Op,Difficult,2D,Local,Multiplayer,Indie,Casual,Competitive,PvE,Singleplayer,Retro,Character,Customization,Family,Friendly,PvP"
Massively Multiplayer Games,"5 Apr, 2020",Booming Tech,Conqueror's Blade,win,Free To Play,Mixed,33908,"Swordplay,PvP,Free,to,Play,Massively,Multiplayer,Wargame,Medieval,Action,Strategy,Sandbox,Character,Customization,MMORPG,War,Alternate,History,Open,World,Tactical,RPG,Third,Person,Team-Based,Action,RPG,Action,RTS"
Sports Games,2026,LightLight Games,Wildlife Sports : Untamed,win,None,,,"Sports,Casual,4,Player,Local,Arcade,Funny,Party,Side,Scroller,2D,Cartoony,Colorful,Cute,Basketball,Family,Friendly,Football,(Soccer),Team-Based,Local,Co-Op,Local,Multiplayer,Singleplayer,Multiplayer,Short"
Sports Games,"29 Sep, 2021",KONAMI,eFootball™,win,Free To Play,Mixed,90869,"Football,(Soccer),Free,to,Play,Controller,Multiplayer,Sports,eSports,Simulation,Local,Multiplayer,PvP,Co-op,Singleplayer,Online,Co-Op,Local,Co-Op,Realistic,Comedy,Memes,Violent,Anime,LGBTQ+,Funny"
Indie Games/Z-Software GmbH Franchise,"31 Jul, 2019",Z-Software,Pilot Sports,win,"71,99zł",2 user reviews,2,"Casual,Racing,Sports,Indie,Family,Friendly,4,Player,Local,Flight,Local,Multiplayer,Colorful,Split,Screen,Relaxing,Funny,Competitive,Controller,Simulation,Retro,Action,Memes,Arcade,Singleplayer"
Simulation Games,"6 Nov, 2023",Sports Interactive,Football Manager 2024,"win,mac","249,00zł",Very Positive,13096,"Simulation,Sports,Management,Football,(Soccer),Strategy,Multiplayer,Economy,Real,Time,Tactics,Singleplayer,eSports,3D,Text-Based,2D,Games,Workshop,Free,to,Play"
Free To Play Games,To be announced,Dream Sports Platform,Dream Sports Platform,win,None,,,"Adventure,Action-Adventure,eSports,Party-Based,RPG,Walking,Simulator,3D,Cinematic,Sports,Realistic,Third,Person,Football,(Soccer),Character,Customization,Open,World,PvE,Quick-Time,Events,Score,Attack,Co-op,Multiplayer,Online,Co-Op,Singleplayer"
Sports Games,Coming soon,Supereo,Cat Sports Online,"win,mac",None,,,"Sports,Casual,Simulation,Tennis,PvP,Cats,Multiplayer,Golf,Character,Customization,Arcade,Fishing,Boxing,Bowling,Singleplayer,Memes,Artificial,Intelligence,Hand-drawn,eSports,Skiing,Football,(Soccer)"
Sports Games,To be announced,defStudios,eSports Manager,win,None,,,"eSports,Management,Resource,Management,Simulation,Strategy,Sports,Tactical,Turn-Based,Tactics,Turn-Based,Strategy,Moddable,Singleplayer,Indie,Sandbox,Early,Access,Top-Down,2D,Text-Based,Action"
Sports Games,"7 Nov, 2016",Babeltime,RoboSports VR,win,Free To Play,Mixed,23,"Early,Access,Sports,VR"
Action Games,"19 Jul, 2018",Luckshot Games,Sausage Sports Club,"win,mac","53,99zł",Mostly Positive,20,"Action,Indie,Adventure,Casual,4,Player,Local,Local,Multiplayer,Physics,Local,Co-Op,Funny,Sports,Cute,Controller,Singleplayer,Third,Person,Comedy,Great,Soundtrack,Short,Platformer,Co-op,Family,Friendly"
Sports Games,"13 Mar, 2017",SAT-BOX,VR SUPER SPORTS,win,"46,99zł",Mixed,112,"Sports,Action,Indie,Casual,VR,Boxing,Archery,Simulation,Basketball,Racing,Bowling"
Sports Games,"29 Jan, 2021",Unfinished Pixel,Super Sports Blast,win,"89,99zł",Positive,47,"Sports,Casual,Arcade,Football,(Soccer),Tennis,Local,Multiplayer,Family,Friendly,Local,Co-Op,Cartoony,Colorful,Indie,Co-op,3D,Singleplayer"
Sports Games,"19 Aug, 2017",Happy Bat,VR Table Sports,win,"28,99zł",Mostly Positive,10,"Simulation,Indie,Casual,Sports,VR,Multiplayer,Football,(Soccer)"
Racing Games/Assetto Corsa Official Franchise,"29 May, 2019",Kunos Simulazioni,Assetto Corsa Competizione,win,"299,13zł",Very Positive,25981,"Racing,Automobile,Sim,Simulation,VR,Multiplayer,Driving,Realistic,Sports,Controller,Singleplayer,Open,World,eSports,Online,Co-Op,Competitive,First-Person,Early,Access,Atmospheric,Moddable,Difficult,PvP"
Sports Games/Agger Interactive Franchise,"3 Feb, 2021",Lotte|EoD,Worldwide Sports Fishing,"win,mac","45,99zł",Positive,43,"Indie,Action,Simulation,Sports,Adventure,Casual,Relaxing,FPS,First-Person,Fishing,Replay,Value,Family,Friendly,Multiplayer,Atmospheric,Realistic,Open,World,Survival"
Sports Games,"1 Jun, 2016",Cherry Pop GamesPerilous Orbit,Sports Bar VR,win,"71,99zł",Very Positive,787,"VR,Snooker,Sports,Simulation,Casual,Pool,Indie,Local,Multiplayer,Strategy,Physics,Multiplayer,Addictive"
Sports Games,To be announced,MADE BY TITANS,Squishy Sports,win,None,,,"2D,Sports,Physics,Party,Game,Party,Family,Friendly,Local,Multiplayer,4,Player,Local,Multiplayer,PvP,Competitive,Arcade,Cartoon,Cute,Stylized,Colorful,Basketball,Football,(Soccer),Indie,Team-Based"
Sports Games,To be announced,DX Gameworks LLCGixer Entertainment,Toy Sports,win,None,,,"Casual,Sports,Family,Friendly,Score,Attack,Multiplayer,Cute,Physics,Colorful,Basketball,Funny,Football,(Soccer),Bowling,Cartoony,eSports,Golf,Controller,Racing,PvP,3D,Collectathon"
Sports Games/EA Sports Franchise,"6 Apr, 2023",Electronic Arts - Tiburon,EA SPORTS™ PGA TOUR™,win,"69,90zł",Mixed,1708,"Sports,RPG,Co-op,Local,Co-Op,Golf,Local,Multiplayer,Multiplayer,Online,Co-Op"
Sports Games/EA Sports Franchise,"15 Aug, 2024",Tiburon,EA SPORTS™ Madden NFL 25,win,"63,98zł",Mixed,3616,"Simulation,Strategy,Football,(American),Sports,Competitive,Multiplayer"
Sports Games,"20 Aug, 2021",Team Fractal Alligator,Wrestledunk Sports,"win,mac,linux",Wrestledunk Sports Demo,Positive,19,"Sports,Indie,Action,Multiplayer,PvP,Local,Co-Op,Online,Co-Op,Local,Multiplayer,4,Player,Local,Family,Friendly,Co-op"
Sports Games/Dear Villagers Franchise,"27 Mar, 2025",Goat Gamez,Sports: Renovations,win,"50,99zł",Mixed,35,"Simulation,Sports,Relaxing,Casual,Realistic,First-Person,Singleplayer,Immersive,Sim,Family,Friendly,Building,Wholesome,Story,Rich,3D,Atmospheric,Crafting,Narration,Walking,Simulator,Indie,Base,Building,Economy"
Sports Games,To be announced,Broxcorp,Sports Sports,"win,linux",None,,,"Sports,Arcade,Pixel,Graphics,Character,Customization,Multiplayer,2.5D,2D,Local,Co-Op,Old,School,Retro,4,Player,Local,Local,Multiplayer,Singleplayer,Colorful,Cute,Casual,PvP,Co-op,Indie"
Simulation Games/EA Sports Franchise,"28 Sep, 2023",EA CanadaEA Romania,EA SPORTS FC™ 24,win,"319,90zł",Mixed,92390,"Football,(Soccer),Sports,Controller,Multiplayer,PvP,eSports,Competitive,PvE,Local,Multiplayer,3D,Simulation,Online,Co-Op,Singleplayer,Realistic,Local,Co-Op,Co-op,Family,Friendly,Action,First-Person,Early,Access"
Free To Play Games,"11 Aug, 2015",Fishing Planet LLC,Fishing Planet,"win,mac,linux",Free To Play,Very Positive,64846,"Fishing,Free,to,Play,Multiplayer,Simulation,Relaxing,Sports,Realistic,Massively,Multiplayer,Co-op,First-Person,Open,World,Singleplayer,Online,Co-Op,Family,Friendly,Adventure,Casual,VR,Action,MMORPG,Farming,Sim"
Indie Games,"7 Feb, 2024",BLOK Games,Mini Sports,"win,mac,linux",Free,Mixed,19,"Indie,Casual,Sports,PvP,Multiplayer,2D,Party,Real,Time,Tactics,Turn-Based,Tactics,Racing,Pool,Archery,Mini,Golf,Competitive,Relaxing,Tactical,Cartoony,Colorful,Free,to,Play"
Racing Games/EA Sports Franchise,"2 Nov, 2023",Codemasters,EA SPORTS™ WRC,win,"199,70zł",Mixed,8951,"Racing,Simulation,Automobile,Sim,Sports,Offroad,Multiplayer,PvP,Singleplayer,VR,Early,Access,Driving,Realistic"
Indie Games,"21 Feb, 2018",Dribble Games,Slime Sports,"win,mac",Free,Mostly Positive,13,"Casual,Sports,Action,Indie,Free,to,Play"
Simulation Games/Factorio/Downloadable Content,"21 Oct, 2024",Wube Software LTD.,Factorio: Space Age,"win,mac,linux","130,00zł",Very Positive,5221,"Automation,Base,Building,Resource,Management,Sandbox,Crafting,Strategy,Multiplayer,Survival,Management,Open,World,Building,Co-op,Simulation,2D,Moddable,Indie,Singleplayer,Trains,Pixel,Graphics,City,Builder"
Casual Games,Coming soon,1ming益铭,BabyRace,win,None,,,"Cute,Funny,Casual,Party,Game,Shooter,Battle,Royale,Runner,PvP,Co-op,Online,Co-Op,Racing,Multiplayer,Early,Access,Indie"
RPG Games/Crusader Kings Official Franchise/Crusader Kings III/Downloadable Content,"24 Sep, 2024",Paradox Development Studio,Crusader Kings III: Roads to Power,"win,mac,linux","111,19zł",Very Positive,1922,"Strategy,RPG,Simulation"
Racing Games,"15 May, 2020",Team Dreamstate,Dreamstate Racing,win,Free,Mixed,36,"Racing,Free,to,Play,Casual,Arcade,Multiplayer,Futuristic,Split,Screen"
Racing Games,"19 Sep, 2019",Igor Kovalenko,Racing angle,win,"8,99zł",Mixed,18,"Racing,Action,Indie,Casual,Simulation"
Free To Play Games,"23 May, 2022",Phantom Interactive,Phantom Racing,"win,mac",Free To Play,Mixed,91,"Massively,Multiplayer,Racing,3D,Sports,Multiplayer,Arcade,Automobile,Sim,Turn-Based,Strategy,Real,Time,Tactics,Turn-Based,Tactics,Time,Management,3D,Vision,Realistic,Third,Person,Driving,Family,Friendly,Management,PvP,Character,Customization,Controller"
Racing Games,"3 Dec, 2024",Finebe,Reindeer Racing,win,Free,Mostly Positive,14,"Multiplayer,Combat,Racing,Driving,Sports,Racing,PvE,PvP,Party,Game,Destruction,Singleplayer,Family,Friendly,Arcade,Indie,3D,Comedy,Third,Person,Funny,Casual,Snow,Cartoony"
Action Games,"10 Jul, 2020",Space River,Covid-Racing,"win,mac","8,99zł",Positive,10,"Action,Indie,Strategy,Racing,Adventure,Zombies,Shooter,Violent,Top-Down,Shooter"
Racing Games,"20 Mar, 2023",Enoops,Turbo Racing,win,"45,99zł",Positive,14,"Racing,Arcade,3D,Cute,Atmospheric,Survival,PvE,Indie,Singleplayer"
Indie Games,"23 Jan, 2022",Enaayah Software Development and Services Private Limited,Racing Outlaws,"win,mac,linux","2,72zł",Positive,27,"Action,Racing,Adventure,Arcade,3D,Platformer,Action,Roguelike,3D,Sports,Indie,Strategy,Atmospheric,Combat,Singleplayer,Multiplayer,Casual,4X,Auto,Battler,Automobile,Sim,Beat,'em,up,eSports"
Racing Games,"28 Dec, 2023",Fragile Software,Barely Racing,win,"40,99zł",Positive,16,"Combat,Racing,Top-Down,Multiplayer,Racing,4,Player,Local,Vehicular,Combat,Driving,PvE,PvP,Automobile,Sim,Shooter,3D,Isometric,Post-apocalyptic,Action,Casual,Combat,Singleplayer,Local,Multiplayer,Arcade"
Racing Games,"11 Feb, 2024",Hardi,Farm Racing,win,"184,99zł",Positive,11,"Racing,Casual,Arcade,3D,Stylized,Colorful,Atmospheric,Driving,Indie,Linear,Singleplayer"
Racing Games,"2 Aug, 2024",Gustav Olsson,Seaside Racing,"win,linux",Free To Play,Positive,30,"Racing,Physics,Multiplayer,4,Player,Local,Split,Screen,Local,Multiplayer,Simulation,Arcade,Offroad,Driving,3D,Platformer,Family,Friendly,Exploration,3D,Combat,Racing,Vehicular,Combat,Automobile,Sim,PvE,PvP,Destruction"
Racing Games,"28 Jan, 2025",Jiffy Goat,Southside Racing,win,Free,Positive,20,"Racing,Combat,Racing,Controller,Comedy,Free,to,Play,Funny,Combat,Vehicular,Combat,3D,Multiplayer"
Racing Games/Wired Productions Franchise,"6 Nov, 2018",Caged Element Inc.,GRIP: Combat Racing,win,"107,99zł",Very Positive,3360,"Racing,Action,Indie,Automobile,Sim,Futuristic,Combat,Racing,Multiplayer,Fast-Paced,Split,Screen,Local,Multiplayer,Driving,Arcade,Sci-fi,Great,Soundtrack,Vehicular,Combat,Singleplayer,VR,Shooter,Combat,Classic"
Adventure Games/Dead Space Franchise,"27 Jan, 2023",Motive,Dead Space,win,"24,95zł",Very Positive,43998,"Horror,Third-Person,Shooter,Sci-fi,Space,Survival,Horror,Shooter,Psychological,Horror,Action-Adventure,Singleplayer,Third,Person,Atmospheric,Action,Survival,Remake,Aliens,Dark,Violent,Adventure,Combat,Blood"
Racing Games,"30 Nov, 2022",GOATi Entertainment,22 Racing Series | RTS-Racing,win,"89,99zł",Mixed,12,"Early,Access,Racing,Automobile,Sim,Fast-Paced,Multiplayer,Futuristic,Competitive,Co-op,Online,Co-Op,Sports,Strategy,Driving,Physics,Simulation,VR,Sci-fi,Colorful,Time,Attack,Local,Multiplayer,Split,Screen"
Simulation Games/Xbox Game Studios Franchise,"19 Nov, 2024",Asobo Studio,Microsoft Flight Simulator 2024,win,"309,00zł",Mixed,12665,"Simulation,Flight,Realistic,VR,Hobby,Sim,Multiplayer,Singleplayer,Atmospheric,Family,Friendly,Exploration,Sandbox,Nature,Relaxing,Open,World,Nonlinear,Immersive,Sim,Character,Customization,Physics,Colorful,Psychological,Horror"
Racing Games,"14 Jul, 2017",PiBoSo,Kart Racing Pro,win,"184,99zł",Very Positive,703,"Racing,Simulation,Sports,Automobile,Sim,VR,Multiplayer"
Racing Games/Nacon Games Franchise,"19 Aug, 2021",Nacon Studio Milan,RiMS Racing,win,"94,26zł",Mixed,310,"Racing,First-Person,Driving,Multiplayer,Singleplayer,Action,Simulation,Automobile,Sim,Sports,Realistic,Third,Person,Atmospheric,Physics,Motorbike,Character,Customization,Local,Multiplayer,3D,PvP,Inventory,Management,Bikes"
Racing Games,"12 Feb, 2013",KW Studios,RaceRoom Racing Experience,win,None,Mostly Positive,23404,"Free,to,Play,Racing,Automobile,Sim,Realistic,Multiplayer,Driving,Simulation,Competitive,Physics,PvP,Difficult,Sports,Controller,VR,Singleplayer,First-Person,Massively,Multiplayer,eSports,Co-op,Artificial,Intelligence"
Racing Games/Plug In Digital Franchise,"22 Mar, 2017",MagicIndie,Cyberline Racing,"win,mac","3,59zł",Mixed,180,"Racing,Action,Indie"
Simulation Games,"17 Dec, 2021",P3 Games,Motor Town: Behind The Wheel,win,"79,99zł",Very Positive,5421,"Early,Access,Driving,Open,World,Transportation,Automobile,Sim,Simulation,Relaxing,Realistic,Economy,Immersive,Sim,Exploration,Multiplayer,Racing,Management,Atmospheric,Time,Attack,Controller,3D,Singleplayer,Casual"
Racing Games/Curve Games Franchise,"10 Sep, 2020",Sumo Digital LtdLucky Mountain Games,Hotshot Racing,win,"6,59zł",Mostly Positive,1161,"Racing,Indie,Arcade,Multiplayer,Split,Screen,Singleplayer,Local,Multiplayer,Action,Old,School,Retro,Driving,Online,Co-Op,Local,Co-Op,Pixel,Graphics,Stylized,Abstract,1990's,PvP,Vehicular,Combat,Score,Attack"
Racing Games/Dai Yong Xiang【alex94i60】 Franchise,"28 Feb, 2024",戴永翔(Dai Yong Xiang),LOLI RACING,win,"10,99zł",Positive,13,"Racing,JRPG,Combat,Racing,Anime,PvP,PvE,Co-op,Indie,Singleplayer,Casual,Multiplayer,RPG,Online,Co-Op"
Racing Games/SC Jogos Franchise,"11 Sep, 2020",SC Jogos,Barro Racing,win,"11,20zł",Very Positive,978,"Indie,Racing,Sports,Multiplayer,PvP,Arcade,Driving,Automobile,Sim,Immersive,Sim,Simulation,Time,Attack,Local,Multiplayer,Singleplayer,Split,Screen,Casual,4,Player,Local,Sequel,3D,Retro,Trading,Card,Game"
Racing Games/Assetto Corsa Official Franchise,"29 May, 2019",Kunos Simulazioni,Assetto Corsa Competizione,win,"299,13zł",Very Positive,25981,"Racing,Automobile,Sim,Simulation,VR,Multiplayer,Driving,Realistic,Sports,Controller,Singleplayer,Open,World,eSports,Online,Co-Op,Competitive,First-Person,Early,Access,Atmospheric,Moddable,Difficult,PvP"
Simulation Games/Focus Entertainment Franchise,"17 May, 2021",Saber Interactive,SnowRunner,"win,mac","99,99zł",Very Positive,35361,"Simulation,Automobile,Sim,Multiplayer,Adventure,Driving,Exploration,Realistic,Sandbox,Open,World,First-Person,Third,Person,Immersive,Sim,Atmospheric,Snow,Racing,Physics,Nature,ATV,Team-Based,PvE"
Strategy Games/Total War Official Franchise,"16 Feb, 2022",CREATIVE ASSEMBLYFeral Interactive,Total War: WARHAMMER III,"win,mac,linux","289,00zł",Mostly Positive,83035,"Strategy,Turn-Based,Strategy,Grand,Strategy,RTS,Fantasy,Real,Time,Tactics,War,Dark,Fantasy,Action,Dwarf,Tactical,Games,Workshop,Atmospheric,Multiplayer,Colorful,Co-op,PvP,Singleplayer,Warhammer,40K,Online,Co-Op"
Racing Games/Need for Speed Franchise,"1 Dec, 2022",Criterion Games,Need for Speed™ Unbound,win,"709,80zł",Mixed,39183,"Racing,Multiplayer,Open,World,Action,Driving,Singleplayer,Character,Customization,Combat,Racing,Controller,Arcade,Online,Co-Op,Casual,Simulation,Sports,Atmospheric,Adventure,Anime,Music,Immersive,Split,Screen"
Racing Games/Need for Speed Franchise,"8 Nov, 2019",Ghost Games,Need for Speed™ Heat,win,"25,00zł",Very Positive,107773,"Racing,Multiplayer,Open,World,Driving,Action,Singleplayer,Co-op,Adventure,Combat,Racing,Atmospheric,Online,Co-Op,Third,Person,Arcade,Controller,Sports,PvP,First-Person,Character,Customization,Destruction,Split,Screen"
Racing Games/Assetto Corsa Official Franchise,"19 Dec, 2014",Kunos Simulazioni,Assetto Corsa,win,"84,84zł",Very Positive,115973,"Racing,Automobile,Sim,Simulation,Driving,Multiplayer,VR,Realistic,Sports,Moddable,Open,World,Controller,Singleplayer,Physics,First-Person,Replay,Value,Indie,Action,3D,Vision,TrackIR,Artificial,Intelligence"
Action Games/Star Wars Franchise,"21 Nov, 2024",Massive Entertainment – A Ubisoft Studio,Star Wars Outlaws,win,"305,48zł",Mostly Positive,4140,"Singleplayer,Open,World,Action,Adventure,Third,Person,Action-Adventure,Sci-fi,Shooter,Third-Person,Shooter,Space,Story,Rich,Exploration,Female,Protagonist,RPG,Parkour,Atmospheric,Choices,Matter,Soundtrack,Heist,Minigames"
Simulation Games/Liftoff® Franchise,"13 Sep, 2018",LuGus Studios,Liftoff®: FPV Drone Racing,"win,mac,linux","71,99zł",Very Positive,10598,"Simulation,Flight,Racing,Realistic,First-Person,Sports,Multiplayer,Immersive,Sim,Indie,Early,Access,Crafting,Level,Editor,Singleplayer,Atmospheric,Exploration,Education,3D,Modern,Parkour,Science"
Racing Games,"12 Jan, 2015",iRacing.com Motorsport SimulationsiRacing,iRacing,win,None,Very Positive,3381,"Racing,Automobile,Sim,Simulation,VR,Sports,Driving,Multiplayer,Massively,Multiplayer,Realistic,Singleplayer,Controller,eSports,First-Person,Action"
